club,league,club_current_bill_EUR,replaces_player,position_group,sold_wage_EUR,sold_efficiency,incoming_player,incoming_team,incoming_league,incoming_age,incoming_wage_EUR,incoming_efficiency,annual_saving_EUR,four_year_saving_EUR
Dortmund,Bundesliga,120710685,Felix Nmecha,Midfielders,6000000,0.5854,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,5970000,23880000
Brighton,Premier League,79965688,Ferdi Kadioglu,Defenders,5390599,0.9921,César Tárrega,Valencia,La Liga,22,200000,-1.8577,5190599,20762396
Brighton,Premier League,79965688,Ferdi Kadioglu,Midfielders,5390599,1.0131,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,5180599,20722396
Brighton,Premier League,79965688,Georginio Rutter,Midfielders,4620514,0.7549,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,4590514,18362056
Brighton,Premier League,79965688,Mats Wieffer,Defenders,3696411,0.5901,Nicolò Savona,Juventus,Serie A,21,370000,-1.6996,3326411,13305644
Brighton,Premier League,79965688,Mats Wieffer,Midfielders,3696411,0.5656,Andy Irving,West Ham United,Premier League,24,308034,-2.0737,3388377,13553508
Brighton,Premier League,79965688,Brajan Gruda,Midfielders,3080342,0.8877,Toby Collyer,Manchester Utd,Premier League,20,308034,-1.9478,2772308,11089232
Brighton,Premier League,79965688,João Pedro,Forwards,3080342,0.5663,Alfon,Celta Vigo,La Liga,25,140000,-2.4089,2940342,11761368
Brighton,Premier League,79965688,Yankuba Minteh,Midfielders,2464274,0.6046,Marc Casado,Barcelona,La Liga,20,520000,-1.9344,1944274,7777096
Real Betis,La Liga,61403507,Isco,Midfielders,6250000,0.5312,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,6220000,24880000
Real Betis,La Liga,61403507,Vitor Roque,Forwards,3500000,1.1307,Alfon,Celta Vigo,La Liga,25,140000,-2.4089,3360000,13440000
Real Betis,La Liga,61403507,Héctor Bellerín,Defenders,3120000,0.6141,César Tárrega,Valencia,La Liga,22,200000,-1.8577,2920000,11680000
Real Betis,La Liga,61403507,Natan,Defenders,2290000,0.7125,Nicolò Savona,Juventus,Serie A,21,370000,-1.6996,1920000,7680000
RB Leipzig,Bundesliga,101192137,Benjamin Henrichs,Midfielders,7550000,0.5799,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,7340000,29360000
RB Leipzig,Bundesliga,101192137,David Raum,Midfielders,7550000,0.5547,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,7520000,30080000
RB Leipzig,Bundesliga,101192137,Benjamin Šeško,Forwards,5660000,0.6654,Alfon,Celta Vigo,La Liga,25,140000,-2.4089,5520000,22080000
RB Leipzig,Bundesliga,101192137,Castello Lukeba,Defenders,5000000,0.7595,César Tárrega,Valencia,La Liga,22,200000,-1.8577,4800000,19200000
RB Leipzig,Bundesliga,101192137,Maarten Vandevoordt,Goalkeepers,1320000,0.758,Marco Carnesecchi,Atalanta,Serie A,24,190000,-2.1575,1130000,4520000
Crystal Palace,Premier League,86865653,Ben Chilwell,Midfielders,12321370,1.1757,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,12111370,48445480
Crystal Palace,Premier League,86865653,Dean Henderson,Goalkeepers,6160685,0.5241,Marco Carnesecchi,Atalanta,Serie A,24,190000,-2.1575,5970685,23882740
Crystal Palace,Premier League,86865653,Cheick Doucouré,Midfielders,4312479,0.618,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,4282479,17129916
Girona,La Liga,38570000,Arthur Melo,Midfielders,6410000,1.8019,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,6200000,24800000
Girona,La Liga,38570000,David López,Defenders,3750000,1.1284,César Tárrega,Valencia,La Liga,22,200000,-1.8577,3550000,14200000
Girona,La Liga,38570000,Oriol Romeu,Midfielders,3500000,0.9964,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,3470000,13880000
Girona,La Liga,38570000,Donny van de Beek,Midfielders,3130000,1.062,Andy Irving,West Ham United,Premier League,24,308034,-2.0737,2821966,11287864
Girona,La Liga,38570000,Bryan Gil,Midfielders,2500000,1.1137,Toby Collyer,Manchester Utd,Premier League,20,308034,-1.9478,2191966,8767864
Girona,La Liga,38570000,Iván Martín,Midfielders,1660000,0.5703,Marc Casado,Barcelona,La Liga,20,520000,-1.9344,1140000,4560000
Girona,La Liga,38570000,Arnau Martinez,Defenders,1240000,1.0128,Nicolò Savona,Juventus,Serie A,21,370000,-1.6996,870000,3480000
Girona,La Liga,38570000,Arnau Martinez,Midfielders,1240000,0.7876,Þórir Jóhann Helgason,Lecce,Serie A,23,60000,-1.9322,1180000,4720000
Girona,La Liga,38570000,Yaser Asprilla,Midfielders,1040000,0.8655,Niccolò Pisilli,Roma,Serie A,19,170000,-1.8242,870000,3480000
Inter,Serie A,146920000,Nicolò Barella,Midfielders,12040000,0.6913,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,11830000,47320000
Inter,Serie A,146920000,Alessandro Bastoni,Defenders,10190000,0.9772,César Tárrega,Valencia,La Liga,22,200000,-1.8577,9990000,39960000
Nottingham Forest,Premier League,68277019,Nikola Milenković,Defenders,6468719,0.5537,César Tárrega,Valencia,La Liga,22,200000,-1.8577,6268719,25074876
Nottingham Forest,Premier League,68277019,Danilo,Midfielders,5130000,1.1428,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,4920000,19680000
Nottingham Forest,Premier League,68277019,Callum Hudson-Odoi,Midfielders,4928548,0.5549,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,4898548,19594192
Nottingham Forest,Premier League,68277019,Ibrahim Sangaré,Midfielders,4620514,0.52,Andy Irving,West Ham United,Premier League,24,308034,-2.0737,4312480,17249920
Liverpool,Premier League,153093018,Trent Alexander-Arnold,Defenders,11089233,0.5771,César Tárrega,Valencia,La Liga,22,200000,-1.8577,10889233,43556932
Liverpool,Premier League,153093018,Ryan Gravenberch,Midfielders,9241027,0.7085,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,9031027,36124108
Bournemouth,Premier League,63455052,Evanilson,Forwards,5236582,0.7918,Alfon,Celta Vigo,La Liga,25,140000,-2.4089,5096582,20386328
Bournemouth,Premier League,63455052,Kepa Arrizabalaga,Goalkeepers,4620514,0.6026,Marco Carnesecchi,Atalanta,Serie A,24,190000,-2.1575,4430514,17722056
Bournemouth,Premier League,63455052,Tyler Adams,Midfielders,3696411,0.5131,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,3486411,13945644
Bournemouth,Premier League,63455052,Illia Zabarnyi,Defenders,3080342,0.6257,César Tárrega,Valencia,La Liga,22,200000,-1.8577,2880342,11521368
Bournemouth,Premier League,63455052,Alex Scott,Midfielders,2464274,0.9153,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,2434274,9737096
Bournemouth,Premier League,63455052,Dean Huijsen,Defenders,1848205,0.604,Nicolò Savona,Juventus,Serie A,21,370000,-1.6996,1478205,5912820
Nice,Ligue 1,31880000,Tanguy Ndombele,Midfielders,3640000,1.1694,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,3430000,13720000
Nice,Ligue 1,31880000,Jonathan Clauss,Midfielders,3280000,0.6622,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,3250000,13000000
Nice,Ligue 1,31880000,Jonathan Clauss,Defenders,3280000,0.7175,César Tárrega,Valencia,La Liga,22,200000,-1.8577,3080000,12320000
Nice,Ligue 1,31880000,Youssoufa Moukoko,Forwards,3000000,1.3108,Alfon,Celta Vigo,La Liga,25,140000,-2.4089,2860000,11440000
Nice,Ligue 1,31880000,Jeremie Boga,Midfielders,2780000,0.6646,Andy Irving,West Ham United,Premier League,24,308034,-2.0737,2471966,9887864
Nice,Ligue 1,31880000,Morgan Sanson,Midfielders,2600000,0.6813,Toby Collyer,Manchester Utd,Premier League,20,308034,-1.9478,2291966,9167864
Nice,Ligue 1,31880000,Dante,Defenders,1500000,0.7154,Nicolò Savona,Juventus,Serie A,21,370000,-1.6996,1130000,4520000
Eintracht Frankfurt,Bundesliga,41530000,Arthur Theate,Defenders,3640000,1.1014,César Tárrega,Valencia,La Liga,22,200000,-1.8577,3440000,13760000
Eintracht Frankfurt,Bundesliga,41530000,Kevin Trapp,Goalkeepers,3500000,0.7529,Marco Carnesecchi,Atalanta,Serie A,24,190000,-2.1575,3310000,13240000
Eintracht Frankfurt,Bundesliga,41530000,Mario Götze,Midfielders,3500000,0.523,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,3290000,13160000
Eintracht Frankfurt,Bundesliga,41530000,Mahmoud Dahoud,Midfielders,3200000,0.6527,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,3170000,12680000
Eintracht Frankfurt,Bundesliga,41530000,Rasmus Kristensen,Defenders,3020000,0.6088,Nicolò Savona,Juventus,Serie A,21,370000,-1.6996,2650000,10600000
Eintracht Frankfurt,Bundesliga,41530000,Hugo Larsson,Midfielders,1890000,0.9946,Andy Irving,West Ham United,Premier League,24,308034,-2.0737,1581966,6327864
Eintracht Frankfurt,Bundesliga,41530000,Can Uzun,Midfielders,840000,0.5233,Toby Collyer,Manchester Utd,Premier League,20,308034,-1.9478,531966,2127864
Las Palmas,La Liga,30994518,Fábio Silva,Forwards,4950000,1.5636,Alfon,Celta Vigo,La Liga,25,140000,-2.4089,4810000,19240000
Las Palmas,La Liga,30994518,Adnan Januzaj,Midfielders,3200000,1.1408,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,2990000,11960000
Las Palmas,La Liga,30994518,Stefan Bajcetic,Defenders,2442259,2.8091,César Tárrega,Valencia,La Liga,22,200000,-1.8577,2242259,8969036
Las Palmas,La Liga,30994518,Stefan Bajcetic,Midfielders,2442259,2.631,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,2412259,9649036
Las Palmas,La Liga,30994518,Scott McKenna,Defenders,2080000,1.0825,Nicolò Savona,Juventus,Serie A,21,370000,-1.6996,1710000,6840000
Las Palmas,La Liga,30994518,Jaime Mata,Midfielders,1560000,0.5663,Andy Irving,West Ham United,Premier League,24,308034,-2.0737,1251966,5007864
Las Palmas,La Liga,30994518,Daley Sinkgraven,Defenders,1500000,1.1152,Iglesias,Getafe,La Liga,26,180000,-1.5674,1320000,5280000
Las Palmas,La Liga,30994518,Alberto Moleiro,Midfielders,620000,0.5252,Þórir Jóhann Helgason,Lecce,Serie A,23,60000,-1.9322,560000,2240000
Las Palmas,La Liga,30994518,Dario Essugo,Midfielders,480000,0.82,Niccolò Pisilli,Roma,Serie A,19,170000,-1.8242,310000,1240000
Genoa,Serie A,33020000,Vitinha,Forwards,5450000,1.3976,Alfon,Celta Vigo,La Liga,25,140000,-2.4089,5310000,21240000
Genoa,Serie A,33020000,Andrea Pinamonti,Forwards,4440000,0.6438,Pau Victor,Barcelona,La Liga,22,380000,-2.0091,4060000,16240000
Genoa,Serie A,33020000,Junior Messias,Midfielders,3700000,0.663,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,3490000,13960000
Genoa,Serie A,33020000,Fabio Miretti,Midfielders,1850000,1.1737,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,1820000,7280000
Genoa,Serie A,33020000,Brooke Norton-Cuffy,Defenders,930000,1.0862,César Tárrega,Valencia,La Liga,22,200000,-1.8577,730000,2920000
Genoa,Serie A,33020000,Brooke Norton-Cuffy,Midfielders,930000,0.7982,Andy Irving,West Ham United,Premier League,24,308034,-2.0737,621966,2487864
Genoa,Serie A,33020000,Alan Matturro,Defenders,510000,0.6675,Iglesias,Getafe,La Liga,26,180000,-1.5674,330000,1320000
West Ham United,Premier League,114588736,Lucas Paquetá,Midfielders,9241027,0.6783,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,9031027,36124108
West Ham United,Premier League,114588736,Alphonse Areola,Goalkeepers,7392822,0.6609,Marco Carnesecchi,Atalanta,Serie A,24,190000,-2.1575,7202822,28811288
Venezia,Serie A,28680000,Ridgeciano Haps,Defenders,3210000,1.0371,César Tárrega,Valencia,La Liga,22,200000,-1.8577,3010000,12040000
Venezia,Serie A,28680000,Ridgeciano Haps,Midfielders,3210000,0.9034,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,3000000,12000000
Venezia,Serie A,28680000,Gianluca Busio,Midfielders,2560000,1.3737,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,2530000,10120000
Venezia,Serie A,28680000,Alfred Duncan,Midfielders,2220000,0.606,Andy Irving,West Ham United,Premier League,24,308034,-2.0737,1911966,7647864
Venezia,Serie A,28680000,Ionuț Radu,Goalkeepers,1850000,1.2911,Marco Carnesecchi,Atalanta,Serie A,24,190000,-2.1575,1660000,6640000
Venezia,Serie A,28680000,Jesse Joronen,Goalkeepers,1390000,0.9402,Christos Mandas,Lazio,Serie A,22,130000,-1.6335,1260000,5040000
Venezia,Serie A,28680000,Antonio Candela,Midfielders,1110000,0.5708,Toby Collyer,Manchester Utd,Premier League,20,308034,-1.9478,801966,3207864
Venezia,Serie A,28680000,Antonio Raimondo,Forwards,740000,0.91,Alfon,Celta Vigo,La Liga,25,140000,-2.4089,600000,2400000
Venezia,Serie A,28680000,Richie Sagrado,Defenders,560000,0.7137,Iglesias,Getafe,La Liga,26,180000,-1.5674,380000,1520000
Venezia,Serie A,28680000,Richie Sagrado,Midfielders,560000,0.6657,Þórir Jóhann Helgason,Lecce,Serie A,23,60000,-1.9322,500000,2000000
Venezia,Serie A,28680000,Filip Stankovic,Goalkeepers,560000,0.7917,Fran Vieites,Real Betis,La Liga,25,160000,-1.6173,400000,1600000
Monaco,Ligue 1,57240000,Aleksandr Golovin,Midfielders,5750000,0.9221,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,5540000,22160000
Monaco,Ligue 1,57240000,Folarin Balogun,Forwards,5750000,0.8847,Alfon,Celta Vigo,La Liga,25,140000,-2.4089,5610000,22440000
Monaco,Ligue 1,57240000,Krépin Diatta,Midfielders,3000000,0.8236,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,2970000,11880000
Monaco,Ligue 1,57240000,Jordan Teze,Midfielders,1950000,0.5197,Andy Irving,West Ham United,Premier League,24,308034,-2.0737,1641966,6567864
Newcastle United,Premier League,98447744,Kieran Trippier,Defenders,7392822,0.5826,César Tárrega,Valencia,La Liga,22,200000,-1.8577,7192822,28771288
Newcastle United,Premier League,98447744,Sven Botman,Defenders,5544616,0.8717,Nicolò Savona,Juventus,Serie A,21,370000,-1.6996,5174616,20698464
Newcastle United,Premier League,98447744,Valentino Livramento,Defenders,3080342,0.5089,Iglesias,Getafe,La Liga,26,180000,-1.5674,2900342,11601368
Lyon,Ligue 1,59860000,Moussa Niakhate,Defenders,4550000,0.6542,César Tárrega,Valencia,La Liga,22,200000,-1.8577,4350000,17400000
Lyon,Ligue 1,59860000,Nicolás Tagliafico,Defenders,4550000,0.6101,Nicolò Savona,Juventus,Serie A,21,370000,-1.6996,4180000,16720000
Lyon,Ligue 1,59860000,Rayan Cherki,Midfielders,4000000,0.9381,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,3790000,15160000
Lyon,Ligue 1,59860000,Ernest Nuamah,Midfielders,2720000,0.8384,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,2690000,10760000
Valencia,La Liga,33810000,José Luis Gayà,Defenders,5830000,0.909,Nicolò Savona,Juventus,Serie A,21,370000,-1.6996,5460000,21840000
Valencia,La Liga,33810000,Hugo Duro,Forwards,4170000,0.9031,Alfon,Celta Vigo,La Liga,25,140000,-2.4089,4030000,16120000
Valencia,La Liga,33810000,Mouctar Diakhaby,Defenders,4000000,0.6893,Iglesias,Getafe,La Liga,26,180000,-1.5674,3820000,15280000
Valencia,La Liga,33810000,Cristhian Mosquera,Defenders,1880000,0.7725,Arthur Chaves,Hoffenheim,Bundesliga,23,300000,-1.4603,1580000,6320000
Hoffenheim,Bundesliga,47560000,Diadie Samassékou,Midfielders,3900000,1.0092,Pablo Torre,Barcelona,La Liga,21,210000,-3.0601,3690000,14760000
Hoffenheim,Bundesliga,47560000,Valentin Gendrey,Midfielders,2260000,0.6175,Seydouba Cissé,Leganés,La Liga,23,30000,-2.3211,2230000,8920000
Hoffenheim,Bundesliga,47560000,Dennis Geiger,Midfielders,2160000,0.5995,Andy Irving,West Ham United,Premier League,24,308034,-2.0737,1851966,7407864
Hoffenheim,Bundesliga,47560000,Alexander Prass,Midfielders,2080000,0.7283,Toby Collyer,Manchester Utd,Premier League,20,308034,-1.9478,1771966,7087864
Hoffenheim,Bundesliga,47560000,Alexander Prass,Defenders,2080000,0.6441,César Tárrega,Valencia,La Liga,22,200000,-1.8577,1880000,7520000
Hoffenheim,Bundesliga,47560000,David Jurásek,Defenders,1920000,0.6244,Nicolò Savona,Juventus,Serie A,21,370000,-1.6996,1550000,6200000
