Team,Comp,position_group,n_players,mean_eff,std_eff,total_wage_EUR,total_excess_EUR,n_overpaid,n_underpaid,priority_rank,priority_label,n_suggestions,eff_threshold
Bournemouth,Premier League,Goalkeepers,2,0.5473478864801384,0.07820676224735786,5852651,2570270.300531198,2,0,1,CRITICAL,8,-0.15
Bournemouth,Premier League,Midfielders,10,0.22804027022694112,0.33843442690534387,33575732,6251502.863825048,4,0,2,HIGH,5,-0.2
Brentford,Premier League,Defenders,6,0.024189612619383436,0.3129151740534973,13245473,498645.888708652,1,1,3,MEDIUM,3,-0.25
Brentford,Premier League,Forwards,3,0.778763190427925,1.1380789047075002,7084787,3138794.077713921,2,1,1,CRITICAL,8,-0.15
Brentford,Premier League,Goalkeepers,2,0.0929740567209594,0.5585487994334567,2464273,-413688.8485348059,1,1,3,MEDIUM,3,-0.25
Brentford,Premier League,Midfielders,8,-0.12599578211682716,0.4319438483316075,16633848,-1244767.6839396607,0,2,4,LOW,2,-0.3
Brest,Ligue 1,Defenders,8,0.34286706646020226,0.7277821838558678,7180000,2575556.9227639977,5,2,1,CRITICAL,8,-0.15
Brest,Ligue 1,Forwards,3,0.07780196555754297,0.15540328859138744,4550000,378316.8330881302,0,0,3,MEDIUM,3,-0.25
Brest,Ligue 1,Goalkeepers,2,-0.34928015856338135,0.4383757087088871,1230000,-862183.105935008,0,1,4,LOW,2,-0.3
Brest,Ligue 1,Midfielders,9,0.35858987786116026,0.7677035992126148,10490000,4140645.2444107155,5,2,1,CRITICAL,8,-0.15
Brighton,Premier League,Defenders,10,0.11671949707746287,0.4323774786497459,30957440,5003450.895756027,2,2,2,HIGH,5,-0.2
Brighton,Premier League,Forwards,2,0.26765888622600364,0.4223557655773129,6776753,1215537.6202402308,1,0,2,HIGH,5,-0.2
Brighton,Premier League,Goalkeepers,2,-0.10174592411572284,0.7326364055766386,3388377,-323608.0517949392,1,1,4,LOW,2,-0.3
Brighton,Premier League,Midfielders,14,0.13036427508157908,0.6391004502616617,38843118,9992029.639054207,7,4,2,HIGH,5,-0.2
Cagliari,Serie A,Defenders,7,-0.012091563571573514,0.42465190847765055,7750000,267713.31106508046,2,3,3,MEDIUM,3,-0.25
Cagliari,Serie A,Forwards,5,-0.15095975471767425,0.7172010125314678,5250000,-114869.28749013529,2,2,4,LOW,2,-0.3
Cagliari,Serie A,Goalkeepers,1,-0.5523411032510666,,220000,-162209.40903792542,0,1,4,LOW,2,-0.3
Cagliari,Serie A,Midfielders,11,-0.10053870991607493,0.34189850153533674,9890000,-1308831.0805653357,2,3,4,LOW,2,-0.3
Celta Vigo,La Liga,Defenders,6,-0.1609373330180451,0.6951686754820039,7710000,788842.8168210717,1,1,4,LOW,2,-0.3
Celta Vigo,La Liga,Forwards,5,-1.0498937708615048,1.1511247970409406,5090000,-2320207.818471459,1,3,4,LOW,2,-0.3
Celta Vigo,La Liga,Goalkeepers,2,0.32308996642494314,0.45513207804082517,3440000,497334.8926601539,1,0,1,CRITICAL,8,-0.15
Celta Vigo,La Liga,Midfielders,10,0.09658481077429286,0.6290541359842304,13400000,3588030.843514085,4,2,3,MEDIUM,3,-0.25
Chelsea,Premier League,Defenders,8,0.04084700977868263,0.4624250181059772,69615739,7234665.55353941,2,2,3,MEDIUM,3,-0.25
Chelsea,Premier League,Forwards,1,-0.6685565090897931,,6160685,-5861389.261740878,0,1,4,LOW,2,-0.3
Chelsea,Premier League,Goalkeepers,2,-0.19854035868208175,0.658347149555314,6776753,-2762723.823139512,0,1,4,LOW,2,-0.3
Chelsea,Premier League,Midfielders,11,-0.09500969712610864,0.4242252232646413,91794204,-2183068.8260788163,1,3,3,MEDIUM,3,-0.25
Como,Serie A,Defenders,9,-6.887916163359856e-13,0.7539388172861756,7430000,965563.1143442912,2,2,3,MEDIUM,3,-0.25
Como,Serie A,Forwards,4,-0.6063267455246435,0.8442211278740888,5680000,-3289873.268059319,0,2,4,LOW,2,-0.3
Como,Serie A,Goalkeepers,2,0.2706633535900052,0.6874553490312463,2600000,662888.3769680442,1,0,2,HIGH,5,-0.2
Como,Serie A,Midfielders,8,3.0620991853247403e-13,0.8989787858141944,9810000,1654144.879220476,3,2,3,MEDIUM,3,-0.25
Crystal Palace,Premier League,Defenders,7,-0.05747818796505729,0.18499611266567506,22486498,-2122504.512016806,0,0,3,MEDIUM,3,-0.25
Crystal Palace,Premier League,Forwards,1,-0.6793911961960184,,3080342,-2996175.947877409,0,1,4,LOW,2,-0.3
Crystal Palace,Premier League,Goalkeepers,1,0.5241074828819272,,6160685,2513044.6109870346,1,0,1,CRITICAL,8,-0.15
Crystal Palace,Premier League,Midfielders,12,-0.004203820037955132,0.5536185389680954,55138128,2773929.233163068,4,6,3,MEDIUM,3,-0.25
Dortmund,Bundesliga,Defenders,9,-0.06441478317098712,0.6521284529995599,41660000,6994800.063357495,3,2,3,MEDIUM,3,-0.25
Dortmund,Bundesliga,Forwards,1,0.0730147100667792,,9430000,663993.1223517582,0,0,3,MEDIUM,3,-0.25
Dortmund,Bundesliga,Goalkeepers,2,0.2967044987370082,1.030467547207001,10140000,5156090.878605158,1,1,2,HIGH,5,-0.2
Dortmund,Bundesliga,Midfielders,13,0.028610997604640184,0.6911783457488739,59480685,5325704.840901858,5,3,3,MEDIUM,3,-0.25
Eintracht Frankfurt,Bundesliga,Defenders,8,0.27036294740544475,0.5297469661012,12900000,4780789.549738266,5,1,2,HIGH,5,-0.2
Eintracht Frankfurt,Bundesliga,Forwards,2,-0.3441255992665866,1.0740616393344269,3780000,625417.6190095462,1,1,4,LOW,2,-0.3
Eintracht Frankfurt,Bundesliga,Goalkeepers,2,0.4728401134372602,0.396050439052468,4060000,1949681.4621753574,1,0,1,CRITICAL,8,-0.15
Eintracht Frankfurt,Bundesliga,Midfielders,14,0.08827743010010433,0.5322570356715383,20790000,4660814.116501495,5,2,3,MEDIUM,3,-0.25
Empoli,Serie A,Defenders,6,-0.2979013830141568,0.45746666614902354,3080000,-395497.16384552675,0,3,4,LOW,2,-0.3
Empoli,Serie A,Forwards,3,0.06836615748922921,0.5120122899141865,1860000,381899.47073310066,1,1,3,MEDIUM,3,-0.25
Empoli,Serie A,Goalkeepers,2,-0.1706566442477522,0.6036798977429758,420000,-228597.0707808957,0,1,4,LOW,2,-0.3
Empoli,Serie A,Midfielders,12,-0.06110119082872215,0.5772737001197265,12350000,757861.5217196853,2,3,3,MEDIUM,3,-0.25
Espanyol,La Liga,Defenders,8,0.035878874839475605,0.7284975552453119,8130000,2335643.360988131,2,3,3,MEDIUM,3,-0.25
Espanyol,La Liga,Forwards,1,1.61145772474344,,1500000,1200605.3321583348,1,0,1,CRITICAL,8,-0.15
Espanyol,La Liga,Goalkeepers,1,-0.7935773725044797,,240000,-290710.298870828,0,1,4,LOW,2,-0.3
Espanyol,La Liga,Midfielders,9,-0.13006288169947844,0.5934807343771437,7190000,-382608.42734960734,1,3,4,LOW,2,-0.3
Everton,Premier League,Defenders,9,-0.197732037516601,0.09913132566848284,28400758,-5414749.709349246,0,1,4,LOW,2,-0.3
Everton,Premier League,Forwards,3,-0.17862829762925378,0.35200075430992583,11705301,-2394538.383752799,0,1,4,LOW,2,-0.3
Everton,Premier League,Goalkeepers,1,0.6228695230806593,,7700856,3570093.6908324864,1,0,1,CRITICAL,8,-0.15
Everton,Premier League,Midfielders,7,-0.18147999928446318,0.38910774300706724,28339149,-1031504.7326970596,0,3,4,LOW,2,-0.3
Fiorentina,Serie A,Defenders,8,0.05974452308515475,0.31398968771230734,16900000,640282.1432371227,1,0,3,MEDIUM,3,-0.25
Fiorentina,Serie A,Forwards,2,-0.3447652130501062,0.5395221130829674,5640000,-2908199.857088232,0,1,4,LOW,2,-0.3
Fiorentina,Serie A,Goalkeepers,2,0.08914782770052196,0.5122221231525583,3890000,-90407.58482760494,1,0,3,MEDIUM,3,-0.25
Fiorentina,Serie A,Midfielders,8,0.10336786315883839,0.4335244829224663,18590000,1787278.3754331225,2,2,2,HIGH,5,-0.2
Freiburg,Bundesliga,Defenders,7,0.10831765488020581,0.9337676993654399,10360000,6042426.157894858,1,2,2,HIGH,5,-0.2
Freiburg,Bundesliga,Forwards,4,0.05102646318896964,0.4348559683908157,2910000,173955.1952352603,1,1,3,MEDIUM,3,-0.25
Freiburg,Bundesliga,Goalkeepers,2,-0.35072195609455026,0.49934944215799787,670000,-172462.28284560633,0,1,4,LOW,2,-0.3
Freiburg,Bundesliga,Midfielders,8,0.3379787541904751,0.4596637464450255,6360000,1446050.236811121,4,0,1,CRITICAL,8,-0.15
Fulham,Premier League,Defenders,7,-0.004870456165575775,0.21251059457011928,21562395,217589.31485953205,0,0,3,MEDIUM,3,-0.25
Fulham,Premier League,Forwards,2,-0.9922048180115333,1.194103663192098,6622736,-3418899.2655150197,0,1,4,LOW,2,-0.3
Fulham,Premier League,Goalkeepers,1,0.4541080879091339,,8008890,2923131.9871934997,1,0,1,CRITICAL,8,-0.15
Fulham,Premier League,Midfielders,14,0.2023827285413519,0.6097742189084644,47596319,5775265.1706884075,4,2,2,HIGH,5,-0.2
Genoa,Serie A,Defenders,7,0.2062354144377839,0.5514130466187929,6440000,554134.6902031465,2,1,2,HIGH,5,-0.2
Genoa,Serie A,Forwards,2,-0.1765001254741368,1.1600995100826514,5210000,791314.3110009078,1,1,4,LOW,2,-0.3
Genoa,Serie A,Goalkeepers,1,-1.1799248680797003,,460000,-1036899.6641580248,0,1,4,LOW,2,-0.3
Genoa,Serie A,Midfielders,12,-0.06973122452156798,0.7601235412758592,15460000,565120.0018627016,3,4,3,MEDIUM,3,-0.25
Getafe,La Liga,Defenders,6,-0.12944108464291837,0.7650042200810417,6420000,651765.4069139593,1,1,4,LOW,2,-0.3
Getafe,La Liga,Forwards,4,-0.029398695732982802,1.2346963790954428,6090000,3017582.079523217,1,1,3,MEDIUM,3,-0.25
Getafe,La Liga,Goalkeepers,1,-0.2197591295955501,,1510000,-371122.70182654704,0,0,4,LOW,2,-0.3
Getafe,La Liga,Midfielders,8,-0.02651113031715352,1.0518287639901698,13800000,4310913.3373243045,3,3,3,MEDIUM,3,-0.25
Girona,La Liga,Defenders,7,0.2825677241451637,0.6836785629711379,9460000,3612766.7401965335,5,2,2,HIGH,5,-0.2
Girona,La Liga,Forwards,4,-0.1089478307769709,0.45112381484906455,5380000,-387039.7586828107,1,2,4,LOW,2,-0.3
Girona,La Liga,Goalkeepers,1,-0.4661365615128083,,1240000,-736342.5530933856,0,1,4,LOW,2,-0.3
Girona,La Liga,Midfielders,11,0.545526021189208,0.774130706371278,22490000,12781548.111441683,7,2,1,CRITICAL,8,-0.15
Gladbach,Bundesliga,Defenders,8,-0.11081810197361408,0.5829418740157813,14170000,123197.2099140163,1,3,4,LOW,2,-0.3
Gladbach,Bundesliga,Forwards,1,-0.3092964663550699,,2450000,-888042.2782810847,0,1,4,LOW,2,-0.3
Gladbach,Bundesliga,Goalkeepers,2,0.443848094260753,0.9078639702608156,4040000,1759251.5417686196,1,0,1,CRITICAL,8,-0.15
Gladbach,Bundesliga,Midfielders,10,-0.4054439029512686,0.5480610869549835,19700000,-4245509.764762629,1,7,4,LOW,2,-0.3
Heidenheim,Bundesliga,Defenders,6,-0.0028218886388868916,0.660184756765832,3390000,844698.7754242583,2,3,3,MEDIUM,3,-0.25
Heidenheim,Bundesliga,Forwards,4,0.07660384431553434,0.7341302886378223,2020000,274824.1842003123,1,1,3,MEDIUM,3,-0.25
Heidenheim,Bundesliga,Goalkeepers,2,-0.025920100900939297,0.09365409162007733,1250000,28973.82974872188,0,0,3,MEDIUM,3,-0.25
Heidenheim,Bundesliga,Midfielders,12,0.24319240415466284,0.9892711415209069,6950000,1989866.935248529,4,5,2,HIGH,5,-0.2
Hellas Verona,Serie A,Defenders,9,-0.044604672100571,0.46947603516123004,6230000,-48858.51766385784,1,2,3,MEDIUM,3,-0.25
Hellas Verona,Serie A,Forwards,3,0.42412851276499747,0.7390635353230335,2600000,1078462.334665649,1,0,1,CRITICAL,8,-0.15
Hellas Verona,Serie A,Goalkeepers,2,0.0647976605039764,0.4716615756674559,960000,-3010.624954453553,1,0,3,MEDIUM,3,-0.25
Hellas Verona,Serie A,Midfielders,12,-0.1266263191428559,0.6264429502948063,9660000,39766.78606649174,2,3,4,LOW,2,-0.3
Hoffenheim,Bundesliga,Defenders,10,-0.04172492261792833,0.6140357544538655,15200000,361628.5466146617,3,2,3,MEDIUM,3,-0.25
Hoffenheim,Bundesliga,Forwards,3,-0.39645473609149984,0.7383091597198833,4250000,-1196075.431490351,1,2,4,LOW,2,-0.3
Hoffenheim,Bundesliga,Goalkeepers,2,0.030648065444419892,0.6395110773409637,3880000,1141178.0253286888,1,1,3,MEDIUM,3,-0.25
Hoffenheim,Bundesliga,Midfielders,13,0.07714605341065368,0.7401700511198077,24230000,5149573.045825104,6,3,3,MEDIUM,3,-0.25
Holstein Kiel,Bundesliga,Defenders,8,-6.368273963719417e-13,0.5068743024784573,2720000,139464.66238729353,2,1,3,MEDIUM,3,-0.25
Holstein Kiel,Bundesliga,Forwards,6,0.38610419292589765,0.5899680605870566,3500000,1277128.255195993,3,0,1,CRITICAL,8,-0.15
Holstein Kiel,Bundesliga,Goalkeepers,2,0.16746586953632475,0.3723047928250861,860000,147799.7037132788,1,0,2,HIGH,5,-0.2
Holstein Kiel,Bundesliga,Midfielders,11,3.2588452138846624e-13,0.699922891316294,5230000,634196.9241524966,3,4,3,MEDIUM,3,-0.25
Inter,Serie A,Defenders,8,-0.01874202308672524,0.5081839059678853,37150000,3724732.883782901,1,4,3,MEDIUM,3,-0.25
Inter,Serie A,Forwards,5,-0.08613396255253994,0.37221318131155656,40890000,388924.12642671075,1,2,3,MEDIUM,3,-0.25
Inter,Serie A,Goalkeepers,2,-0.11824296380554955,0.7077329015718982,5990000,-1866278.7701049082,1,1,4,LOW,2,-0.3
Inter,Serie A,Midfielders,10,0.05903942925134211,0.4118437839802863,62890000,8765860.701577162,3,2,3,MEDIUM,3,-0.25
Ipswich Town,Premier League,Defenders,9,-5.992243738243511e-13,0.6704344288500217,12044138,1642596.2968038379,5,3,3,MEDIUM,3,-0.25
Ipswich Town,Premier League,Forwards,3,0.2362605416509158,0.3962036082937893,3542393,934391.4917970845,1,0,2,HIGH,5,-0.2
Ipswich Town,Premier League,Goalkeepers,2,0.7020424313117397,0.42781852369200263,3388377,1772431.058521927,2,0,1,CRITICAL,8,-0.15
Ipswich Town,Premier League,Midfielders,11,2.7840356282963924e-13,0.6361978433254428,11828512,1311137.1881841617,3,4,3,MEDIUM,3,-0.25
Juventus,Serie A,Defenders,11,-0.3450311452720766,0.6852391493705955,34250171,-2332115.133196389,1,5,4,LOW,2,-0.3
Juventus,Serie A,Forwards,1,1.2350780402246162,,22220000,15758155.883630335,1,0,1,CRITICAL,8,-0.15
Juventus,Serie A,Goalkeepers,2,0.1272741330319018,0.2270306074347166,6480000,570130.3934059422,0,0,2,HIGH,5,-0.2
Juventus,Serie A,Midfielders,11,0.15810216139734334,0.5386189345053766,46890000,10523246.61115339,3,1,2,HIGH,5,-0.2
Las Palmas,La Liga,Defenders,8,0.5104006859681383,1.1031924182173414,8792259,4127897.240901781,3,1,1,CRITICAL,8,-0.15
Las Palmas,La Liga,Forwards,3,0.44151365408740934,1.0156409073733084,7660000,3924999.446511198,1,1,1,CRITICAL,8,-0.15
Las Palmas,La Liga,Goalkeepers,2,-0.2408544483967807,0.34443100268700527,1360000,-522094.51030076464,0,1,4,LOW,2,-0.3
Las Palmas,La Liga,Midfielders,11,0.44847223801252284,0.9037120535971476,13182259,5155282.548469743,6,2,1,CRITICAL,8,-0.15
Lazio,Serie A,Defenders,9,0.15935597922714032,0.34785350473194243,31280000,5981571.000926831,4,1,2,HIGH,5,-0.2
Lazio,Serie A,Forwards,1,-0.721753981969325,,2310000,-2444071.964528811,0,1,4,LOW,2,-0.3
Lazio,Serie A,Goalkeepers,2,-0.711724419682767,1.3036276649543421,3830000,165227.89801096148,0,1,4,LOW,2,-0.3
Lazio,Serie A,Midfielders,10,-0.051982965034585306,0.38103028824009694,29770000,-3009119.549596104,2,3,3,MEDIUM,3,-0.25
Le Havre,Ligue 1,Defenders,8,0.05723524449631312,0.5573381726491432,3850000,20540.30738852982,3,3,3,MEDIUM,3,-0.25
Le Havre,Ligue 1,Forwards,2,0.5047281060286508,0.9709094680602947,480000,226692.6272743533,1,0,1,CRITICAL,8,-0.15
Le Havre,Ligue 1,Goalkeepers,2,-0.14847663607913114,0.030206121935026753,650000,-105453.69014998741,0,0,4,LOW,2,-0.3
Le Havre,Ligue 1,Midfielders,13,-0.06116798755591504,0.6261237527229334,6650000,422635.8483518214,3,4,3,MEDIUM,3,-0.25
Lecce,Serie A,Defenders,4,0.19208933815692353,0.4021684520971457,3560000,341761.0254396617,1,0,2,HIGH,5,-0.2
Lecce,Serie A,Forwards,2,0.08125263040994302,1.402983464228609,2300000,548685.1746466237,1,1,3,MEDIUM,3,-0.25
Lecce,Serie A,Goalkeepers,1,0.2599701780864407,,1110000,254107.2157780031,0,0,2,HIGH,5,-0.2
Lecce,Serie A,Midfielders,11,-0.09163091591253303,0.6603272223386855,5460000,-61203.79322411257,3,1,3,MEDIUM,3,-0.25
Leganés,La Liga,Defenders,9,-6.432262130336616e-13,0.5658873980579393,6510000,1328873.6354433782,2,3,3,MEDIUM,3,-0.25
Leganés,La Liga,Goalkeepers,2,0.22964436504888658,1.0007951550471657,1140000,58458.856402274454,1,1,2,HIGH,5,-0.2
Leganés,La Liga,Midfielders,12,2.9499088357217335e-13,0.94739978880054,7540000,2117104.38355219,5,4,3,MEDIUM,3,-0.25
Leicester City,Premier League,Defenders,7,-0.16800254015955624,0.4336768932135643,20638294,-1312877.022830256,1,2,4,LOW,2,-0.3
Leicester City,Premier League,Forwards,1,0.5089161482874225,,8624959,3440092.671133714,1,0,1,CRITICAL,8,-0.15
Leicester City,Premier League,Goalkeepers,3,-0.20469651318728785,0.8176419447126402,3696410,39193.96663784131,1,2,4,LOW,2,-0.3
Leicester City,Premier League,Midfielders,12,-0.13817745574244328,0.7112700995815244,35115903,-1453574.8719964412,4,4,4,LOW,2,-0.3
Lens,Ligue 1,Defenders,7,0.36595272674886026,0.7633715094895733,7620000,3413433.7311514355,4,1,1,CRITICAL,8,-0.15
Lens,Ligue 1,Forwards,3,-0.6403805917918852,0.7739165919069297,3870000,-1744842.9715655043,0,2,4,LOW,2,-0.3
Lens,Ligue 1,Goalkeepers,1,0.2154161466249622,,720000,139531.77323493082,0,0,2,HIGH,5,-0.2
Lens,Ligue 1,Midfielders,13,0.2935505655964579,0.6511208385597285,11940000,4147800.8847202784,9,3,2,HIGH,5,-0.2
Leverkusen,Bundesliga,Defenders,5,0.021662441579487556,0.5409022337198538,15530000,1154636.2705344744,2,2,3,MEDIUM,3,-0.25
Leverkusen,Bundesliga,Forwards,2,-0.09245767089176751,0.4164022697082899,8000000,152533.8722295505,0,1,3,MEDIUM,3,-0.25
Leverkusen,Bundesliga,Goalkeepers,2,-0.32417016559841905,0.14182303793802623,3350000,-1562961.4916539309,0,1,4,LOW,2,-0.3
Leverkusen,Bundesliga,Midfielders,12,0.10913020755498515,0.4074795588266424,44890000,5842960.194362678,5,2,2,HIGH,5,-0.2
Lille,Ligue 1,Defenders,7,0.10478264421983952,0.6222352613283422,11490000,2805978.2646688265,3,1,2,HIGH,5,-0.2
Lille,Ligue 1,Forwards,2,-0.22220248060312814,0.11252690685783907,3750000,-962844.1103103706,0,1,4,LOW,2,-0.3
Lille,Ligue 1,Goalkeepers,1,-0.0268428194619119,,1140000,-31015.219881861703,0,0,3,MEDIUM,3,-0.25
Lille,Ligue 1,Midfielders,14,0.19153420963745052,0.5703183020178791,17340000,3828756.765021,7,1,2,HIGH,5,-0.2
Liverpool,Premier League,Defenders,9,-0.2668250967331029,0.6843896042678188,52057787,2315002.868786936,2,2,4,LOW,2,-0.3
Liverpool,Premier League,Forwards,4,-0.17250482937428924,0.703254616868598,29879322,-4085255.2974260096,1,1,4,LOW,2,-0.3
Liverpool,Premier League,Goalkeepers,2,-0.6952933579167171,1.055784185147575,9857095,-1527222.325030427,0,1,4,LOW,2,-0.3
